Rank,Previous Rank,Artist Name,Weeks on Chart,Views,Weekly Growth
1,1,Alka Yagnik,288,354889908,-0.1%
2,2,Udit Narayan,309,267295388,-6.3%
3,3,Shilpi Raj,69,250808795,-4.9%
4,7,Kumar Sanu,284,207475972,3.5%
5,4,Khesari Lal Yadav,203,194552517,-8.8%
6,6,Bad Bunny,283,193730470,-3.8%
7,5,Arjit Singh,318,191333556,-5.2%
8,8,BTS,318,171882382,-5.6%
9,10,Lata Mangeshkar,301,158640333,-1.6%
10,9,Jubin Nautiyal,150,153414306,-9.2%
11,12,Shreya Ghoshal,290,125854778,-6.6%
12,11,Pawan Singh,221,122751412,-13.3%
13,13,KAROL G,236,121950806,0.4%
14,14,Rauw Alejandro,134,106358581,-1%
15,16,The Weeknd,304,98457760,-2.3%
16,15,Justin Bieber,318,97634452,-3.7%
17,17,J Balvin,318,97224982,-0.8%
18,18,Sonu Nigam,274,92659200,-5.3%
19,20,Ed Sheeran,318,90205309,-0.5%
20,22,Neha Kakkar,285,89989679,0.7%
21,19,Ozuna,289,88944682,-3.5%
22,21,BLACKPINK,240,88045139,-2.2%
23,23,Imagine Dragons,292,86235306,-1.7%
24,24,Marília Mendonça,298,84501275,-3.6%
25,25,Anuel AA,201,83496981,-4.2%
26,26,Eminem,318,82859810,-3.7%
27,29,Farruko,249,80245099,-1.5%
28,32,Doja Cat,99,75027409,-0.3%
29,35,Becky G,214,73380716,5.3%
30,27,Stephanie Beatriz,11,73348593,-14%
31,28,Encanto - Cast,13,73114695,-13.9%
32,41,Renuka Panwar,70,72836592,15.4%
33,39,Daddy Yankee,318,71807545,11.4%
34,31,Sid Sriram,105,71073791,-7.3%
35,37,Myke Towers,151,70859029,6.7%
36,,Stray Kids,61,69862029,
37,30,Anuradha Paudwal,244,69118362,-12.2%
38,45,B Praak,127,68689579,11.7%
39,34,Dua Lipa,242,64823985,-10.2%
40,36,Ankush Raja,61,64496433,-7.1%
41,38,Taylor Swift,318,63812052,-3.3%
42,33,Adassa,13,63296524,-14.3%
43,56,Henrique & Juliano,243,62942319,9.5%
44,49,Coldplay,318,61672342,3%
45,43,Ariana Grande,318,60463938,-2.9%
46,42,Maluma,318,60347638,-3.3%
47,,Paulo Londra,143,59762255,
48,40,Youngboy Never Broke Again,237,59463452,-7.7%
49,,Rosalía,117,59436412,
50,46,TWICE,257,58905614,-3.5%
51,53,Kishore Kumar,171,58524830,-0.1%
52,47,Kavita Krishnamurthy,163,58342327,-4.2%
53,48,Meet Bros,191,57942498,-4.3%
54,55,Bruno Mars,318,57620461,-0.2%
55,60,Shakira,318,56016753,1%
56,58,Rihanna,318,55928888,-0.9%
57,59,Maroon 5,316,55591790,-0.4%
58,57,Badshah,247,55524908,-1.9%
59,64,Grupo Firme,81,54243084,0.9%
60,61,Billie Eilish,192,54166849,-2.3%
61,68,S.P. Balasubramanyam,115,53442118,1.1%
62,62,Christian Nodal,135,53351243,-1.9%
63,54,Alan Walker,288,53293739,-9%
64,76,Sadhana Sargam,101,53041822,6%
65,75,Ryan Castro,19,52236609,2.6%
66,72,Ritesh Pandey,81,51802682,0.6%
67,44,Lil Durk,62,51353709,-17.1%
68,65,Maria Becerra,59,51243361,-4.1%
69,66,Stebin Ben,53,51148482,-3.6%
70,69,Sunidhi Chauhan,231,50992380,-2.9%
71,92,Anitta,209,50785638,14.4%
72,79,Atif Aslam,215,50537759,4.8%
73,67,Himesh Reshammiya,141,50535325,-4.5%
74,50,Mauro Castillo,7,50366448,-15%
75,51,Diane Guerrero,7,50181342,-15.1%
76,71,Romeo Santos,318,50130540,-3%
77,52,Rhenzy Feliz,5,50092647,-15.1%
78,87,Anirudh Ravichander,68,49582006,8.2%
79,73,Sia,303,49553960,-3.8%
80,86, Tulsi Kumar,159,48158958,3.8%
81,77,Adele,221,48156324,-3.5%
82,63,Asees Kaur,96,48109334,-10.8%
83,80,Katy Perry,318,48099720,-0.1%
84,85,Sukhwinder Singh,72,47882272,2.6%
85,81,Gusttavo Lima,190,47829877,0.5%
86,74,Payal Dev,49,47738120,-6.8%
87,83,Drake,295,46715433,-1.3%
88,78,Neeti Mohan,81,46558661,-4%
89,82,Sebastián Yatra,250,46417337,-2.1%
90,84,Mounika Yadav,20,46357044,-0.9%
91,88,Chencho Corleone,59,46203877,2.9%
92,95,Don Omar,187,44562571,2.7%
93,89,Michael Jackson,318,44230284,-1.5%
94,93,Justin Quiles,98,43834096,-0.1%
95,94,Juice WRLD,182,43336588,-1.2%
96,,Zé Felipe,32,43276881,
97,70,Bizarrap,82,43266782,-17.3%
98,90,Sech,156,42916927,-4.4%
99,99,Aventura,187,42665285,0.2%
100,,Vicente Fernández,186,41931734,
